Region,Site,Status,Principal Investigator,Screened (Actual Cumulative),Screen Failure,Enrolled (Actual Cumulative),Early Terminated,Completed,Enrolled (Actual Cumulative),% Screen Failure,Subject Deviation Rate,DCF Rate,% CRF Reviewed,dummy1
Western Australia,A04-AU00215,Completed,Tan,2,1,1,0,1,1,50,2,0,0,1
Western Australia,A04-AU00216,Completed,Gebauer,15,1,14,10,4,14,6.67,1.29,0,0,1
ACT,A04-AU00220,Completed,Rubel,3,1,3,0,2,3,33.33,0.33,0,0,1
QC,A04-CA00182,Closed,Gratton,5,1,4,0,4,4,20,0.5,0,0,1
NB,A04-CA00245,Closed,Bourcier,15,1,15,2,12,15,6.67,0.4,0,0,1
QC,A04-CA00248,Closed,Poulin,12,4,12,0,8,12,33.33,0.25,0,0,1
ON,A04-CA00281,Preparation,Adam,6,0,6,1,5,6,0,1.17,0,0,1
NS,A04-CA90077,Closed,Langley,16,6,16,1,9,16,37.5,2.31,0,0,1
BC,A04-CA90165,Completed,Ho,7,1,6,1,5,6,14.29,1.17,0,0,1
ON,A04-CA90210,Closed,Raman,14,6,14,0,8,14,42.86,0.07,0,0,1
ON,A04-DE00292,Closed,Philipp,8,1,8,0,7,8,12.5,0.12,0,0,1
ON,A04-DE00480,Closed,Sebastian,23,5,23,1,17,23,21.74,0.26,0,0,1
ON,A04-DE00481,Closed,Kaatz,1,0,1,0,1,1,0,1,0,0,1
ON,A04-DE00483,Closed,Koerber,15,4,15,1,10,15,26.67,0.07,0,0,1
ON,A04-DE00485,Closed,WilsmannTheis,5,0,5,1,4,5,0,0.4,0,0,1
ON,A04-DE00487,Closed,Simon,5,0,5,0,5,5,0,1.6,0,0,1
ON,A04-DE00489,Closed,Radtke,11,2,11,1,8,11,18.18,0.45,0,0,1
ON,A04-DE00491,Closed,Tsianakas,15,0,15,2,13,15,0,0.47,0,0,1
ON,A04-DE00492,Closed,Thaci,21,6,21,1,14,21,28.57,0.71,0,0,1
ON,A04-DE00500,Closed,Hoffmann,14,4,12,2,8,12,28.57,0.17,0,0,1
ON,A04-ES00355,Closed,Belinchon,6,0,6,0,6,6,0,2.67,0,0,1
Madrid,A04-ES00357,Closed,Lopez,4,1,4,0,3,4,25,4.5,0,0,1
Madrid,A04-ES00517,Closed,Pujol,6,1,5,0,5,5,16.67,1,0,0,1
Madrid,A04-ES00518,Closed,Fonseca Capdevila,3,0,3,1,2,3,0,4.33,0,0,1
Madrid,A04-ES00526,Closed,Vanaclocha,8,1,8,0,7,8,12.5,1.75,0,0,1
Madrid,A04-GB00297,Closed,Bewley,5,2,3,0,3,3,40,0.67,0,0,1
Madrid,A04-GB00298,Closed,Bewley,2,1,1,0,1,1,50,2,0,0,1
Madrid,A04-GB00403,Closed,Ghaffar,4,1,3,1,2,3,25,1.33,0,0,1
Madrid,A04-GB00415,Closed,Ladoyanni,4,0,4,1,3,4,0,0.75,0,0,1
Seoul,A04-KR00149,Closed,Choi,4,1,3,0,3,3,25,1.33,0,0,1
Seoul,A04-KR00150,Closed,Shin,5,1,5,1,3,5,20,0.6,0,0,1
Seoul,A04-KR00151,Closed,Kim,6,1,5,0,5,5,16.67,0.2,0,0,1
Seoul,A04-KR00152,Closed,Roh,4,2,2,1,1,2,50,2,0,0,1
Seoul,A04-KR00153,Closed,Choe,5,0,5,1,4,5,0,0.8,0,0,1
Seoul,A04-KR00154,Closed,Kim,7,0,7,1,6,7,0,2,0,0,1
Seoul,A04-KR00163,Closed,Song,4,1,3,0,3,3,25,0,0,0,1
Seoul,A04-PL00165,Preparation,Czubek,24,3,24,1,20,24,12.5,0.75,0,0,1
Seoul,A04-PL00226,Preparation,Adamski,16,1,16,1,14,16,6.25,0.75,0,0,1
Seoul,A04-PL00227,Preparation,Ambroziak,20,5,20,2,13,20,25,1.15,0,0,1
Seoul,A04-PL00228,Preparation,Borzecki,19,4,19,1,14,19,21.05,0.21,0,0,1
Seoul,A04-PL00229,Preparation,Bystrzanows ka,18,4,18,0,14,18,22.22,0.28,0,0,1
Seoul,A04-PL00230,Preparation,Czajkowski,26,1,26,2,23,26,3.85,0.27,0,0,1
Seoul,A04-PL00231,Preparation,Dadej-,16,8,14,0,8,14,50,1.79,0,0,1
Seoul,A04-PL00232,Preparation,Kolinek,28,10,28,1,17,28,35.71,0.18,0,0,1
Seoul,A04-PL00233,Preparation,Janczylo-,26,5,26,0,21,26,19.23,1.08,0,0,1
Seoul,A04-PL00235,Preparation,Kaszuba,16,0,16,0,16,16,0,0.69,0,0,1
Seoul,A04-PL00238,Preparation,Leszniewska,8,0,8,0,8,8,0,0,0,0,1
Seoul,A04-PL00239,Preparation,Loza,15,3,15,0,12,15,20,2.33,0,0,1
Seoul,A04-PL00241,Preparation,Nowicki,9,2,8,1,6,8,22.22,2.12,0,0,1
Seoul,A04-PL00242,Preparation,Owczarek,12,2,12,0,10,12,16.67,0.58,0,0,1
Seoul,A04-PL00244,Preparation,Rajzer,17,2,17,0,15,17,11.76,1.94,0,0,1
Seoul,A04-PL00245,Preparation,Rudnicka,19,3,18,1,15,18,15.79,1.61,0,0,1
Seoul,A04-PL00248,Preparation,Placek,20,4,19,0,16,19,20,0.89,0,0,1
Seoul,A04-PL00249,Preparation,Baran,29,4,29,4,21,29,13.79,0.14,0,0,1
Seoul,A04-PL00250,Preparation,Lesiak,23,6,23,0,17,23,26.09,2.57,0,0,1
Seoul,A04-RU00371,Closed,Sukhova,23,10,15,0,13,15,43.48,0.2,0,0,1
Seoul,A04-RU00377,Closed,Maslyansky,17,2,17,0,15,17,11.76,1.94,0,0,1
Seoul,A04-RU00378,Closed,Ziganshin,9,0,9,1,8,9,0,0.44,0,0,1
Seoul,A04-RU00379,Closed,Edin,18,7,18,4,7,18,38.89,0.89,0,0,1
Seoul,A04-RU00382,Closed,Uhanova,18,3,15,0,15,15,16.67,0.33,0,0,1
Seoul,A04-RU90263,Closed,Kamalova,14,3,12,1,10,12,21.43,0.17,0,0,1
Seoul,A04-RU90279,Closed,Kokhan,9,2,9,0,7,9,22.22,0.22,0,0,1
Seoul,A04-RU90282,Closed,Murashkin,14,6,10,1,7,10,42.86,0.7,0,0,1
Seoul,A04-TW00035,Closed,Tsai,27,4,26,1,22,26,14.81,0.5,0,0,1
Seoul,A04-TW00076,Closed,Hui,11,2,11,2,7,11,18.18,0.09,0,0,1
Taiwan,A04-TW00077,Closed,Sheu,11,1,11,0,10,11,9.09,0.55,0,0,1
Taiwan,A04-TW00078,Closed,Hui,5,1,5,0,4,5,20,0.2,0,0,1
Taiwan,A04-TW90068,Closed,Wei,11,2,10,0,9,10,18.18,0,0,0,1
VA,A04-US00494,Closed,Pariser,12,8,10,2,2,10,66.67,0.2,0,0,1
FL,A04-US01499,Closed,Behringer,11,0,11,0,11,11,0,0.09,0,0,1
IL,A04-US01500,Closed,Bukhalo,26,2,25,9,15,25,7.69,0.44,0,0,1
KY,A04-US01502,Closed,Fowler,9,3,8,2,4,8,33.33,0,0,0,1
IN,A04-US01503,Closed,Fretzin,5,1,5,1,3,5,20,0,0,0,1
GA,A04-US01505,Closed,Hamilton,6,0,6,1,5,6,0,0,0,0,1
NY,A04-US01506,Closed,Lebwohl,7,2,5,3,2,5,28.57,0,0,0,1
CA,A04-US01511,Closed,Sofen,19,2,19,3,14,19,10.53,0.05,0,0,1
TX,A04-US01513,Closed,Tyring,5,1,5,2,2,5,20,0.2,0,0,1
TX,A04-US02020,Closed,Lee,5,2,3,0,3,3,40,0,0,0,1
TX,A04-US02021,Closed,Moore,8,1,8,3,4,8,12.5,0.88,0,0,1
OR,A04-US02022,Closed,Rich,2,0,2,0,2,2,0,1.5,0,0,1
TX,A04-US02046,Closed,Ryan,12,4,12,3,5,12,33.33,1,0,0,1
WA,A04-US02047,Closed,Werschler,4,3,4,0,1,4,75,0.75,0,0,1
PA,A04-US02052,Closed,Ferris,4,1,4,0,3,4,25,0,0,0,1
NY,A04-US02073,Closed,Kalb,3,1,2,0,2,2,33.33,0,0,0,1
TX,A04-US02074,Closed,Cather,13,1,13,1,11,13,7.69,0.54,0,0,1
CA,A04-US02111,Closed,Crowley,4,1,4,1,2,4,25,2,0,0,1
TX,A04-US02139,Closed,Carrasco,6,2,6,1,3,6,33.33,0.33,0,0,1
CA,A04-US02140,Closed,Yamauchi,1,0,1,0,1,1,0,0,0,0,1
RI,A04-US02275,Closed,Frankel,8,3,8,0,5,8,37.5,0.25,0,0,1
GA,A04-US02328,Closed,Weisman,11,3,10,2,6,10,27.27,1.2,0,0,1
IL,A04-US02348,Closed,Mehlis,8,3,7,1,4,7,37.5,0.57,0,0,1
TN,A04-US02350,Closed,Pruitt,3,2,1,0,1,1,66.67,1,0,0,1
MI,A04-US90232,Closed,Murakawa,7,1,7,1,5,7,14.29,1.14,0,0,1
MA,A04-US90943,Closed,Rosmarin,2,1,1,1,0,1,50,0,0,0,1
OR,A04-US91488,Closed,Blauvelt,25,7,24,2,16,24,28,0.5,0,0,1
AL,A04-US91507,Closed,Elewski,11,7,4,3,1,4,63.64,2,0,0,1
IL,A04-US92304,Closed,Gordon,4,1,3,0,3,3,25,1.67,0,0,1
IN,A04-US92606,Closed,Guenthner,18,2,18,2,14,18,11.11,0,0,0,1