MEASURE_DATE,TYPE,COUNT,ENROLLED_COUNT,SCREENED_COUNT,MAX_SAES,Day,Month,Year,MEASURE_DATE_YYYY_MM_DD
01/10/14,Screen Failed,6,1042,1105,3,1,10,2014,2014/10/1
01/11/14,Screen Failed,19,1042,1105,5,1,11,2014,2014/11/1
01/12/14,Screen Failed,59,1042,1105,5,1,12,2014,2014/12/1
01/01/15,Screen Failed,53,1042,1105,3,1,1,2015,2015/1/1
01/02/15,Screen Failed,69,1042,1105,2,1,2,2015,2015/2/1
01/03/15,Screen Failed,26,1042,1105,4,1,3,2015,2015/3/1
01/04/15,Screen Failed,1,1042,1105,4,1,4,2015,2015/4/1
01/05/15,Screen Failed,0,1042,1105,6,1,5,2015,2015/5/1
01/06/15,Screen Failed,0,1042,1105,3,1,6,2015,2015/6/1
01/07/15,Screen Failed,0,1042,1105,5,1,7,2015,2015/7/1
01/08/15,Screen Failed,0,1042,1105,3,1,8,2015,2015/8/1
01/09/15,Screen Failed,0,1042,1105,4,1,9,2015,2015/9/1
01/10/15,Screen Failed,0,1042,1105,3,1,10,2015,2015/10/1
01/11/15,Screen Failed,0,1042,1105,1,1,11,2015,2015/11/1
01/12/15,Screen Failed,0,1042,1105,5,1,12,2015,2015/12/1
01/01/16,Screen Failed,0,1042,1105,4,1,1,2016,2016/1/1
01/02/16,Screen Failed,0,1042,1105,1,1,2,2016,2016/2/1
01/03/16,Screen Failed,0,1042,1105,1,1,3,2016,2016/3/1
01/04/16,Screen Failed,0,1042,1105,6,1,4,2016,2016/4/1
01/05/16,Screen Failed,0,1042,1105,1,1,5,2016,2016/5/1
01/10/14,Early Terminated,0,1042,1105,1,1,10,2014,2014/10/1
01/11/14,Early Terminated,0,1042,1105,5,1,11,2014,2014/11/1
01/12/14,Early Terminated,0,1042,1105,3,1,12,2014,2014/12/1
01/01/15,Early Terminated,0,1042,1105,5,1,1,2015,2015/1/1
01/02/15,Early Terminated,2,1042,1105,6,1,2,2015,2015/2/1
01/03/15,Early Terminated,2,1042,1105,1,1,3,2015,2015/3/1
01/04/15,Early Terminated,7,1042,1105,7,1,4,2015,2015/4/1
01/05/15,Early Terminated,0,1042,1105,5,1,5,2015,2015/5/1
01/06/15,Early Terminated,8,1042,1105,5,1,6,2015,2015/6/1
01/07/15,Early Terminated,11,1042,1105,3,1,7,2015,2015/7/1
01/08/15,Early Terminated,7,1042,1105,4,1,8,2015,2015/8/1
01/09/15,Early Terminated,4,1042,1105,2,1,9,2015,2015/9/1
01/10/15,Early Terminated,9,1042,1105,5,1,10,2015,2015/10/1
01/11/15,Early Terminated,6,1042,1105,2,1,11,2015,2015/11/1
01/12/15,Early Terminated,10,1042,1105,7,1,12,2015,2015/12/1
01/01/16,Early Terminated,3,1042,1105,7,1,1,2016,2016/1/1
01/02/16,Early Terminated,14,1042,1105,4,1,2,2016,2016/2/1
01/03/16,Early Terminated,12,1042,1105,1,1,3,2016,2016/3/1
01/04/16,Early Terminated,4,1042,1105,4,1,4,2016,2016/4/1
01/05/16,Early Terminated,0,1042,1105,6,1,5,2016,2016/5/1
01/10/14,Completed,0,1042,1105,2,1,10,2014,2014/10/1
01/11/14,Completed,0,1042,1105,5,1,11,2014,2014/11/1
01/12/14,Completed,0,1042,1105,6,1,12,2014,2014/12/1
01/01/15,Completed,0,1042,1105,6,1,1,2015,2015/1/1
01/02/15,Completed,0,1042,1105,3,1,2,2015,2015/2/1
01/03/15,Completed,0,1042,1105,6,1,3,2015,2015/3/1
01/04/15,Completed,0,1042,1105,1,1,4,2015,2015/4/1
01/05/15,Completed,0,1042,1105,1,1,5,2015,2015/5/1
01/06/15,Completed,1,1042,1105,5,1,6,2015,2015/6/1
01/07/15,Completed,0,1042,1105,2,1,7,2015,2015/7/1
01/08/15,Completed,0,1042,1105,6,1,8,2015,2015/8/1
01/09/15,Completed,1,1042,1105,3,1,9,2015,2015/9/1
01/10/15,Completed,0,1042,1105,2,1,10,2015,2015/10/1
01/11/15,Completed,2,1042,1105,7,1,11,2015,2015/11/1
01/12/15,Completed,6,1042,1105,6,1,12,2015,2015/12/1
01/01/16,Completed,87,1042,1105,6,1,1,2016,2016/1/1
01/02/16,Completed,189,1042,1105,4,1,2,2016,2016/2/1
01/03/16,Completed,193,1042,1105,2,1,3,2016,2016/3/1
01/04/16,Completed,226,1042,1105,7,1,4,2016,2016/4/1
01/05/16,Completed,68,1042,1105,6,1,5,2016,2016/5/1